gene	chromosome	arm
ENSG00000226960	1	p
MTCO1P21	1	p
ENSG00000234080	1	p
ENSG00000285409	1	p
ENSG00000271723	1	p
MROH7-TTC4	1	p
ENSG00000225191	1	p
ENSG00000287870	1	p
ENSG00000232048	1	p
HNRNPCP9	1	p
ENSG00000232857	1	p
KATNBL1P2	1	p
ENSG00000273637	1	p
ENSG00000228838	1	p
ENSG00000283761	1	p
ENSG00000233514	1	p
ENSG00000266993	1	p
ENSG00000229316	1	p
HMGB1P45	1	p
ENSG00000234099	1	p
MTND4P11	1	p
ENSG00000232752	1	p
MTCO3P21	1	p
ENSG00000235829	1	p
TBCAP2	1	p
ENSG00000280040	1	p
SNX7-DT	1	p
ENSG00000238037	1	p
OOSP1P1	1	p
ENSG00000227935	1	p
ENSG00000228502	1	p
EEF1A1P11	1	p
ENSG00000271277	1	p
ENSG00000236888	1	p
RPS20P5	1	p
ENSG00000230828	1	p
ENSG00000233129	1	p
ENSG00000237897	1	p
MATR3P3	1	p
ENSG00000286692	1	p
ENSG00000260464	1	p
ENSG00000231996	1	p
ENSG00000287756	1	p
ENSG00000284652	1	p
ENSG00000228399	1	p
ENSG00000236776	1	p
RPL21P23	1	p
ENSG00000271252	1	p
ENSG00000235794	1	p
MTND3P21	1	p
ENSG00000233983	1	p
ENSG00000232918	1	p
RPL21P26	1	p
ENSG00000183298	1	p
RPSAP19	1	p
ENSG00000162699	1	p
DNAJA1P5	1	p
ENSG00000203914	1	p
HSP90B3P	1	p
ENSG00000270457	1	p
ENSG00000231987	1	p
LINC01787	1	p
ENSG00000229842	1	p
MTATP6P13	1	p
ENSG00000233482	1	p
ENSG00000232450	1	p
ENSG00000235038	1	p
ENSG00000279513	1	p
ENSG00000225923	1	p
ENSG00000223416	1	p
RPS26P15	1	p
ENSG00000179571	1	q
NBPF17P	1	q
ENSG00000227850	1	p
SEPTIN2P1	1	p
ENSG00000285532	1	p
LINC02788	1	p
ENSG00000226755	1	p
VPS25P1	1	p
ENSG00000277095	1	q
ENSG00000264145	1	q
ENSG00000238256	1	p
MTND5P20	1	p
ENSG00000223489	1	p
NEFHP1	1	p
ENSG00000230546	1	p
ENSG00000213262	1	p
VDAC2P3	1	p
ENSG00000287015	1	p
ENSG00000235526	1	p
ENSG00000228347	1	p
FTLP17	1	p
ENSG00000236012	1	p
HIGD1AP12	1	p
ENSG00000134200	1	p
TSHB	1	p
ENSG00000226126	1	p
PSMC1P12	1	p
ENSG00000228453	1	p
RPS15AP9	1	p
ENSG00000261168	1	q
ENSG00000233432	1	p
MTIF2P1	1	p
ENSG00000229911	1	p
ENSG00000270719	1	p
ENSG00000234422	1	p
UBE2WP1	1	p
ENSG00000227091	1	p
SLC6A17-AS1	1	p
ENSG00000230932	1	p
ENSG00000225036	1	p
CDK4P1	1	p
ENSG00000250890	1	p
ENSG00000232240	1	p
ENSG00000234388	1	p
TXNP3	1	p
ENSG00000233717	1	q
RPS29P29	1	q
ENSG00000270976	1	p
ENSG00000228217	1	p
PNRC2P1	1	p
ENSG00000270342	1	p
ENSG00000235887	1	q
LINC02799	1	q
ENSG00000235756	1	p
ENSG00000173810	1	p
PPIAP7	1	p
ENSG00000271890	1	q
OR10AE1P	1	q
ENSG00000227970	1	p
NR1H5P	1	p
ENSG00000231613	1	p
ENSG00000236689	1	p
MTCO2P21	1	p
ENSG00000226028	1	q
PFN1P12	1	q
ENSG00000203825	1	q
ENSG00000233449	1	p
MTATP6P14	1	p
ENSG00000242943	1	q
NKAIN1P1	1	q
ENSG00000232499	1	p
ENSG00000232995	1	q
ENSG00000238087	1	q
FMO8P	1	q
ENSG00000271092	1	p
TLCD4-RWDD3	1	p
ENSG00000232148	1	q
FMO11P	1	q
ENSG00000232952	1	p
ENSG00000260322	1	p
ENSG00000225462	1	q
FDPSP1	1	q
ENSG00000237756	1	q
ENSG00000271187	1	q
ENSG00000231175	1	q
LINC01720	1	q
ENSG00000272931	1	p
LRRC8D-DT	1	p
ENSG00000225475	1	p
ENSG00000232223	1	q
CNN2P10	1	q
ENSG00000224468	1	q
LAMC1-AS1	1	q
ENSG00000232551	1	p
MTCO1P14	1	p
ENSG00000238270	1	q
ENSG00000236025	1	q
ENSG00000230704	1	q
ENSG00000275767	1	q
ENSG00000230748	1	q
PRELID1P7	1	q
ENSG00000238108	1	q
ENSG00000287472	1	q
ENSG00000241318	1	p
WDR82P2	1	p
ENSG00000228238	1	q
ENSG00000232393	1	p
RPL5P6	1	p
ENSG00000184155	1	q
OR10J5	1	q
ENSG00000232917	1	q
HSPE1P6	1	q
ENSG00000233057	1	q
EEF1A1P14	1	q
ENSG00000224691	1	q
ENSG00000233626	1	q
ENSG00000231714	1	q
ENSG00000285638	1	q
ENSG00000230987	1	q
ENSG00000228167	1	q
ENSG00000150732	1	q
ENSG00000288139	1	q
ENSG00000238051	1	q
ISCUP1	1	q
ENSG00000233196	1	q
ENSG00000229220	1	q
ENSG00000227747	1	q
ENSG00000228081	1	q
ENSG00000228020	1	q
HNRNPA1P46	1	q
ENSG00000234975	1	q
FTH1P2	1	q
ENSG00000271427	1	p
ENSG00000230777	1	q
RPS29P5	1	q
ENSG00000224540	1	q
TFDP1P1	1	q
ENSG00000229067	1	p
ENSG00000261182	1	q
LINC03121	1	q
ENSG00000225712	1	q
ATP5MC2P1	1	q
ENSG00000274702	1	q
ENSG00000226211	1	q
ENSG00000225172	1	q
ENSG00000261642	1	q
ENSG00000228239	1	q
ENSG00000237283	1	q
ENSG00000234984	1	q
FMO10P	1	q
ENSG00000229983	1	q
ENSG00000225122	1	q
ENSG00000225920	1	q
RIMKLBP2	1	q
ENSG00000285718	1	q
ENSG00000233018	1	q
ENSG00000224783	1	q
MIPEPP2	1	q
ENSG00000268062	1	q
SRP14P4	1	q
ENSG00000229757	1	q
RPL7AP21	1	q
ENSG00000220749	1	q
RPL21P28	1	q
ENSG00000223842	1	q
ENSG00000237193	1	q
ENSG00000223490	1	p
CHCHD2P5	1	p
ENSG00000232824	1	q
PRR13P1	1	q
ENSG00000224702	1	q
LMX1A-AS2	1	q
ENSG00000271811	1	q
ENSG00000224278	1	q
ENSG00000226486	1	q
LINC01035	1	q
ENSG00000227687	1	q
ENSG00000231814	1	q
LINC00210	1	q
ENSG00000277007	1	q
ENSG00000229016	1	q
ENSG00000225006	1	q
ENSG00000223375	1	q
ENSG00000230714	1	q
ENSG00000282852	1	p
ENSG00000232100	1	q
LINC01653	1	q
ENSG00000230547	1	q
HMGB1P11	1	q
ENSG00000232215	1	q
OR2L6P	1	q
ENSG00000278180	1	q
ENSG00000232341	1	q
RPL4P2	1	q
ENSG00000287676	1	q
ENSG00000236792	1	q
ABCE1P3	1	q
ENSG00000270859	1	q
ENSG00000238224	1	q
KIF26B-AS2	1	q
ENSG00000237492	1	q
OR2L9P	1	q
ENSG00000250762	1	q
ENSG00000235083	1	q
ENSG00000225904	1	q
MORF4L1P7	1	q
ENSG00000238054	1	q
ENSG00000281453	1	q
TGFB2-OT1	1	q
ENSG00000237469	1	q
TUBB8P10	1	q
ENSG00000227613	1	q
QRSL1P2	1	q
ENSG00000231612	1	q
KIF26B-AS3	1	q
ENSG00000271036	1	q
CLPTM1LP1	1	q
ENSG00000226868	1	q
ENSG00000279401	1	q
ENSG00000287450	1	q
ENSG00000237011	1	q
ENSG00000225811	1	q
ENSG00000273093	1	q
ENSG00000226750	1	q
ENSG00000285665	1	q
TOP1P1	1	q
ENSG00000231022	1	q
RPS3AP9	1	q
ENSG00000224436	1	q
ENSG00000234915	1	q
ENSG00000227585	1	q
ENSG00000157060	1	q
SHCBP1L	1	q
ENSG00000237213	1	q
RPL23AP22	1	q
ENSG00000213045	1	q
ENSG00000230063	1	q
ENSG00000235467	1	q
RPL10AP5	1	q
ENSG00000225338	1	q
RPL23AP18	1	q
ENSG00000224407	1	q
ENSG00000232463	1	q
ENSG00000225171	1	q
DUTP6	1	q
ENSG00000213690	1	q
ENSG00000229832	1	q
ENSG00000237514	1	q
PTP4A1P7	1	q
ENSG00000287856	1	q
ENSG00000224040	1	q
HMGN1P4	1	q
ENSG00000228686	1	q
ENSG00000236401	1	q
SLC4A1APP2	1	q
ENSG00000215800	1	q
RSL24D1P4	1	q
ENSG00000270936	1	q
BPNT2P1	1	q
ENSG00000241505	1	q
ENSG00000261453	1	q
LINC01735	1	q
ENSG00000231020	1	q
ENSG00000270818	1	q
ENSG00000225561	1	q
LINC01710	1	q
ENSG00000223847	1	q
ENSG00000277704	1	q
ENSG00000240963	1	q
ENSG00000226570	1	q
ENSG00000236905	1	q
ENSG00000227887	1	q
RPS26P13	1	q
ENSG00000116903	1	q
EXOC8	1	q
ENSG00000226196	1	q
GAPDHP75	1	q
ENSG00000287354	1	q
ENSG00000233827	1	q
CCNQP1	1	q
ENSG00000235182	1	q
ENSG00000287157	1	q
ENSG00000225755	1	q
TRNT1P1	1	q
ENSG00000230184	1	q
SMYD3-IT1	1	q
ENSG00000232436	1	q
ENSG00000236317	1	q
ENSG00000176855	1	q
KRT18P28	1	q
ENSG00000225401	1	q
TGIF2P1	1	q
ENSG00000228190	1	q
RPL23AP16	1	q
ENSG00000135747	1	q
ZNF670-ZNF695	1	q
ENSG00000253148	1	q
RGS21	1	q
ENSG00000227751	1	p
RCC2-AS1	1	p
ENSG00000236468	1	q
EEF1A1P44	1	q
ENSG00000236101	1	q
RAC1P7	1	q
ENSG00000278684	1	q
ENSG00000236775	1	q
ENSG00000228646	1	q
RPL31P13	1	q
ENSG00000233332	1	q
ENSG00000231984	1	q
RIDAP1	1	q
ENSG00000226693	1	q
NXNP1	1	q
ENSG00000231272	1	q
ENSG00000223828	1	q
BANF1P4	1	q
ENSG00000226723	1	q
ABCE1P2	1	q
ENSG00000272672	1	p
ENSG00000235096	1	q
ENSG00000225222	1	q
CHCHD4P5	1	q
ENSG00000286619	1	q
PM20D1-AS1	1	q
ENSG00000227554	1	q
ENSG00000178596	1	p
GAPDHP29	1	p
ENSG00000229663	1	q
DPY19L4P1	1	q
ENSG00000228530	1	q
ENSG00000287921	1	q
ENSG00000232166	1	q
ENSG00000231378	1	q
NDUFAF4P4	1	q
ENSG00000235605	1	q
ENSG00000224857	1	p
LINC01691	1	p
ENSG00000273367	1	q
ENSG00000231605	1	q
LINC01363	1	q
ENSG00000236358	1	q
ENSG00000203737	1	q
GPR52	1	q
ENSG00000215873	1	p
FEN1P1	1	p
ENSG00000272175	1	p
ENSG00000213070	1	q
HMGB3P6	1	q
ENSG00000229747	1	q
ENSG00000225486	1	q
ENSG00000213068	1	q
ENSG00000273198	1	q
ENSG00000225719	1	q
NMNAT1P2	1	q
ENSG00000273483	1	p
ENSG00000232809	1	q
VDAC1P10	1	q
ENSG00000285981	1	p
ENSG00000215796	1	q
ENSG00000233047	1	p
LINC01677	1	p
ENSG00000264341	1	p
ENSG00000264101	1	p
MIR4689	1	p
ENSG00000252404	1	p
ENSG00000243267	1	p
RN7SL614P	1	p
ENSG00000252151	1	p
RNU6-1265P	1	p
ENSG00000252969	1	p
SNORA70	1	p
ENSG00000252956	1	p
RNA5SP40	1	p
ENSG00000284357	1	p
MIR34A	1	p
ENSG00000207941	1	p
MIR552	1	p
ENSG00000199963	1	p
RNU6-605P	1	p
ENSG00000264698	1	p
MIR4255	1	p
ENSG00000207328	1	p
RNU6-636P	1	p
ENSG00000207466	1	p
Y_RNA	1	p
ENSG00000252368	1	p
RNA5SP43	1	p
ENSG00000206779	1	p
ENSG00000200796	1	p
RNU6-753P	1	p
ENSG00000283724	1	p
MIR6732	1	p
ENSG00000284410	1	p
MIR6733	1	p
ENSG00000252018	1	p
RNU2-30P	1	p
ENSG00000206627	1	p
RNU6-969P	1	p
ENSG00000207508	1	p
RNU6-1237P	1	p
ENSG00000200171	1	p
ENSG00000207194	1	p
RNU6-1026P	1	p
ENSG00000283477	1	p
MIR6079	1	p
ENSG00000263675	1	p
MIR5581	1	p
ENSG00000238653	1	p
RNU7-62P	1	p
ENSG00000212624	1	p
ENSG00000200575	1	p
RNU6-414P	1	p
ENSG00000212360	1	p
RNU6-1177P	1	p
ENSG00000251825	1	p
RN7SKP19	1	p
ENSG00000222624	1	p
RNU2-15P	1	p
ENSG00000223152	1	p
RNU4-88P	1	p
ENSG00000212308	1	p
RNA5SP23	1	p
ENSG00000276081	1	p
MIR7156	1	p
ENSG00000239640	1	p
RN7SL62P	1	p
ENSG00000252338	1	p
RNU6-503P	1	p
ENSG00000239319	1	p
RN7SL854P	1	p
ENSG00000251767	1	p
RNU7-8P	1	p
ENSG00000202263	1	p
RNA5SP22	1	p
ENSG00000199318	1	p
RNA5SP52	1	p
ENSG00000199666	1	p
SNORD3G	1	p
ENSG00000200601	1	p
RNA5SP50	1	p
ENSG00000242482	1	p
RN7SL392P	1	p
ENSG00000201620	1	p
RNA5SP51	1	p
ENSG00000206817	1	p
ENSG00000264963	1	p
RN7SL440P	1	p
ENSG00000198974	1	p
MIR30E	1	p
ENSG00000212248	1	p
RNU6-750P	1	p
ENSG00000207962	1	p
MIR30C1	1	p
ENSG00000202259	1	p
RNU6-1318P	1	p
ENSG00000212459	1	p
RNU6-695P	1	p
ENSG00000263526	1	p
MIR378G	1	p
ENSG00000211575	1	p
MIR760	1	p
ENSG00000202254	1	p
ENSG00000201491	1	p
RNU4-75P	1	p
ENSG00000275455	1	p
MIR7852	1	p
ENSG00000200800	1	p
RNU1-130P	1	p
ENSG00000252530	1	p
RNU6-965P	1	p
ENSG00000200536	1	p
ENSG00000252797	1	p
RN7SKP272	1	p
ENSG00000212266	1	p
ENSG00000222209	1	p
RNA5SP56	1	p
ENSG00000277141	1	p
Metazoa_SRP	1	p
ENSG00000215930	1	p
MIR942	1	p
ENSG00000238761	1	p
ENSG00000252005	1	p
RNU4ATAC8P	1	p
ENSG00000252510	1	p
RNA5SP55	1	p
ENSG00000252830	1	q
RNA5SP533	1	q
ENSG00000283296	1	p
MIR4256	1	p
ENSG00000252717	1	p
RNU6-352P	1	p
ENSG00000277313	1	p
7SK	1	p
ENSG00000207472	1	q
RNU6-41P	1	q
ENSG00000199849	1	q
RNU5F-6P	1	q
ENSG00000212538	1	q
U3	1	q
ENSG00000251813	1	q
RNU6-983P	1	q
ENSG00000207108	1	q
ENSG00000202491	1	q
RNU6-716P	1	q
ENSG00000201596	1	q
ENSG00000273629	1	q
U7	1	q
ENSG00000201493	1	q
RNU1-141P	1	q
ENSG00000200139	1	q
RNU6-778P	1	q
ENSG00000253025	1	q
RNU2-12P	1	q
ENSG00000201544	1	q
SNORA16B	1	q
ENSG00000221545	1	q
MIR1255B2	1	q
ENSG00000252906	1	q
SCARNA3	1	q
ENSG00000202329	1	q
RNU6-609P	1	q
ENSG00000242794	1	q
RN7SL299P	1	q
ENSG00000283340	1	q
MIR3119-1	1	q
ENSG00000252860	1	q
RNU6-570P	1	q
ENSG00000263390	1	q
MIR3119-2	1	q
ENSG00000207181	1	q
SNORA14B	1	q
ENSG00000264377	1	q
MIR4671	1	q
ENSG00000207149	1	p
RNU6-465P	1	p
ENSG00000284485	1	q
MIR205	1	q
ENSG00000239494	1	q
RN7SL333P	1	q
ENSG00000199442	1	q
ENSG00000239690	1	q
RN7SL668P	1	q
ENSG00000202184	1	q
RNU6-1283P	1	q
ENSG00000241395	1	q
RN7SL344P	1	q
ENSG00000200982	1	q
ENSG00000222407	1	q
RNA5SP80	1	q
ENSG00000200495	1	q
RNU6-1205P	1	q
ENSG00000252553	1	q
RNA5SP73	1	q
ENSG00000222240	1	q
RN7SKP156	1	q
ENSG00000212187	1	q
ENSG00000200036	1	q
RNA5SP65	1	q
ENSG00000212610	1	q
ENSG00000200327	1	q
RNA5SP62	1	q
ENSG00000200972	1	q
RNU5A-8P	1	q
ENSG00000212205	1	q
ENSG00000264358	1	q
MIR3122	1	q
ENSG00000212527	1	q
RNA5SP63	1	q
ENSG00000252879	1	q
RN7SKP98	1	q
ENSG00000202264	1	q
RNA5SP77	1	q
ENSG00000285609	1	q
5S_rRNA	1	q
ENSG00000252084	1	q
RN7SKP12	1	q
ENSG00000200085	1	q
ENSG00000264500	1	q
MIR3124	1	q
ENSG00000202025	1	q
RNU6-1240P	1	q
ENSG00000225545	1	q
ENSG00000206990	1	q
ENSG00000230175	1	q
ENSG00000225272	1	q
RPL21P27	1	q
ENSG00000273365	1	q
ENSG00000230659	1	q
ENSG00000215520	1	p
RPS4XP4	1	p
ENSG00000183114	1	p
FAM43B	1	p
ENSG00000284005	1	p
MIR6084	1	p
ENSG00000234473	1	q
ZNF101P2	1	q
ENSG00000238754	1	q
SCARNA18B	1	q
ENSG00000221680	1	q
MIR1278	1	q
ENSG00000276735	1	q
ENSG00000287453	1	p
ENSG00000270615	1	p
SGO1P1	1	p
ENSG00000287283	1	p
ENSG00000240692	1	p
RN7SL538P	1	p
ENSG00000244389	1	p
RN7SL242P	1	p
ENSG00000278636	1	p
ENSG00000271992	1	p
ENSG00000237033	1	p
CASP3P1	1	p
ENSG00000229239	1	p
EEF1A1P48	1	p
ENSG00000273844	1	q
ENSG00000235748	1	q
SEPTIN14P12	1	q
ENSG00000221879	1	q
MRPS21P3	1	q
ENSG00000199241	1	q
ENSG00000223963	1	q
THAP12P8	1	q
ENSG00000215802	1	q
RFKP1	1	q
ENSG00000233615	1	q
HNRNPA1P42	1	q
ENSG00000238085	1	q
ENSG00000265831	1	q
MIR3123	1	q
ENSG00000224348	1	q
RPL36P6	1	q
ENSG00000287738	1	q
ENSG00000276632	1	q
ENSG00000223603	1	q
CRPP1	1	q
ENSG00000235226	1	q
ENSG00000212161	1	q
ENSG00000243284	1	q
VSIG8	1	q
ENSG00000266458	1	q
MIR4259	1	q
ENSG00000287040	1	q
ENSG00000279430	1	q
ENSG00000273933	1	q
ENSG00000256029	1	q
ENSG00000188004	1	q
SNHG28	1	q
ENSG00000266580	1	p
MIR4254	1	p
ENSG00000269967	1	p
ENSG00000228634	1	p
ENSG00000284702	1	p
ENSG00000221040	1	p
ENSG00000212385	1	p
RNU6-817P	1	p
ENSG00000200547	1	p
ENSG00000224950	1	p
ENSG00000251246	1	q
EFNA4-EFNA3	1	q
ENSG00000202027	1	q
ENSG00000223452	1	q
HMGN2P18	1	q
ENSG00000273088	1	q
ENSG00000284586	1	q
MIR92B	1	q
ENSG00000253074	1	p
RNU6-586P	1	p
ENSG00000252116	1	p
RNU4ATAC4P	1	p
ENSG00000228523	1	p
DNAJB6P4	1	p
ENSG00000223263	1	p
RNU6-387P	1	p
ENSG00000207504	1	p
RNU6-1031P	1	p
ENSG00000238139	1	p
ENSG00000244703	1	q
CD46P1	1	q
ENSG00000226289	1	q
CDCA4P3	1	q
ENSG00000285239	1	q
ENSG00000234219	1	q
CDCA4P4	1	q
ENSG00000158731	1	q
OR10J6P	1	q
ENSG00000201746	1	p
RNU6-828P	1	p
ENSG00000264881	1	p
ENSG00000199562	1	p
RNU6-37P	1	p
ENSG00000264501	1	p
RN7SL731P	1	p
ENSG00000284735	1	p
ENSG00000284642	1	p
ENSG00000271989	1	p
ENSG00000251503	1	p
CENPS-CORT	1	p
ENSG00000203469	1	p
ENSG00000236035	1	q
NSA2P1	1	q
ENSG00000221643	1	q
SNORA77	1	q
ENSG00000227417	1	q
ENSG00000223505	1	q
RPL35AP5	1	q
ENSG00000236430	1	q
KRT8P29	1	q
ENSG00000238231	1	p
ENSG00000240750	1	p
RN7SL559P	1	p
ENSG00000283799	1	q
MIR1182	1	q
ENSG00000227934	1	q
ENSG00000229595	1	q
ENSG00000281912	1	p
LINC01144	1	p
ENSG00000288208	1	p
ENSG00000236872	1	p
PPIAP36	1	p
ENSG00000226164	1	q
FGFR3P6	1	q
ENSG00000224014	1	q
ENSG00000215795	1	q
ENSG00000259865	1	q
ENSG00000283881	1	q
MIR3916	1	q
ENSG00000252516	1	q
RNA5SP82	1	q
ENSG00000214144	1	q
ENSG00000235818	1	q
VN1R17P	1	q
ENSG00000202079	1	q
ENSG00000177489	1	q
OR2G2	1	q
ENSG00000177476	1	q
OR2G3	1	q
ENSG00000283369	1	q
U6	1	q
ENSG00000230411	1	q
OR3D1P	1	q
ENSG00000251977	1	p
RNU6-991P	1	p
ENSG00000252254	1	p
ENSG00000227854	1	q
ENSG00000215805	1	q
ENSG00000228818	1	q
ENSG00000202041	1	q
ENSG00000223694	1	q
ADH5P3	1	q
ENSG00000233735	1	q
ENSG00000228076	1	p
NANPP1	1	p
ENSG00000237349	1	p
ENSG00000244716	1	p
RPL17P7	1	p
ENSG00000228665	1	p
RPS27P6	1	p
ENSG00000228054	1	p
RANP5	1	p
ENSG00000278249	1	p
SCARNA2	1	p
ENSG00000251484	1	p
ENSG00000234937	1	q
PSMD7P3	1	q
ENSG00000283442	1	q
U4	1	q
ENSG00000207475	1	q
SNORA80E	1	q
ENSG00000280466	1	q
SCARNA4	1	q
ENSG00000281394	1	q
ENSG00000277817	1	q
MIR6738	1	q
ENSG00000224276	1	q
ARHGEF2-AS1	1	q
ENSG00000252236	1	q
ENSG00000260238	1	q
PMF1-BGLAP	1	q
ENSG00000207933	1	q
MIR9-1	1	q
ENSG00000254726	1	q
MEX3A	1	q
ENSG00000186160	1	p
CYP4Z1	1	p
ENSG00000225154	1	p
TUBAP9	1	p
ENSG00000225514	1	p
MTND1P34	1	p
ENSG00000226252	1	p
ENSG00000186790	1	p
FOXE3	1	p
ENSG00000237424	1	p
FOXD2-AS1	1	p
ENSG00000189030	1	q
VHLL	1	q
ENSG00000162763	1	q
LRRC52	1	q
ENSG00000186564	1	p
FOXD2	1	p
ENSG00000173080	1	q
RXFP4	1	q
ENSG00000276470	1	p
ENSG00000278852	1	p
ENSG00000275915	1	p
ENSG00000224904	1	p
SBF1P2	1	p
ENSG00000201801	1	p
RNU5E-4P	1	p
ENSG00000287384	1	p
ENSG00000270914	1	p
ENSG00000202461	1	p
ENSG00000276869	1	p
MIR6729	1	p
ENSG00000243539	1	p
RN7SL649P	1	p
ENSG00000201135	1	p
RNU6-777P	1	p
ENSG00000227875	1	p
RPL23AP89	1	p
ENSG00000285604	1	p
ENSG00000283789	1	p
MIR7846	1	p
ENSG00000263676	1	p
MIR4632	1	p
ENSG00000200591	1	p
ENSG00000278966	1	p
ENSG00000284035	1	q
MIR5187	1	q
ENSG00000236484	1	q
RRM2P2	1	q
ENSG00000288093	1	q
ENSG00000206921	1	q
RNU6-481P	1	q
ENSG00000215840	1	q
ENSG00000277882	1	q
COMMD6P1	1	q
ENSG00000283317	1	q
ENSG00000277762	1	q
RN7SL261P	1	q
ENSG00000227139	1	q
ENSG00000234190	1	q
ENSG00000223728	1	q
ENSG00000121634	1	q
GJA8	1	q
ENSG00000273059	1	q
ENSG00000206791	1	q
RNU1-129P	1	q
ENSG00000206585	1	q
RNVU1-7	1	q
ENSG00000198658	1	q
ABHD17AP1	1	q
ENSG00000238382	1	q
RNU6-1211P	1	q
ENSG00000207190	1	p
RNU6-809P	1	p
ENSG00000200508	1	p
ENSG00000231296	1	p
ENSG00000227311	1	p
RPL21P20	1	p
ENSG00000213172	1	p
ENSG00000284677	1	p
ZFP69B-DT	1	p
ENSG00000260920	1	p
ENSG00000255054	1	p
ENSG00000207302	1	p
ENSG00000229786	1	p
