hgnc_symbol,chromosome
ENSG00000304965,1
MIR200B,1
MIR200A,1
MIR429,1
ENSG00000272141,1
TTLL10-AS1,1
TTLL10,1
TNFRSF18,1
TNFRSF4,1
SDF4,1
B3GALT6,1
C1QTNF12,1
ENSG00000260179,1
UBE2J2,1
LINC01786,1
SCNN1D,1
ACAP3,1
MIR6726,1
PUSL1,1
INTS11,1
MIR6727,1
ENSG00000240731,1
CPTP,1
TAS1R3,1
DVL1,1
MIR6808,1
ENSG00000304860,1
MXRA8,1
AURKAIP1,1
NDUFB4P8,1
CCNL2,1
MRPL20-AS1,1
MRPL20,1
RN7SL657P,1
ENSG00000301639,1
MRPL20-DT,1
ANKRD65,1
ANKRD65-AS1,1
TMEM88B,1
LINC01770,1
VWA1,1
ATAD3C,1
ATAD3B,1
ENSG00000290916,1
ENSG00000284740,1
ATAD3A,1
TMEM240,1
ENSG00000299413,1
SSU72,1
SSU72-AS1,1
ENSG00000274481,1
FNDC10,1
ENSG00000286989,1
ENSG00000272106,1
MIB2,1
MMP23B,1
CDK11B,1
ENSG00000272004,1
SLC35E2B,1
ENSG00000293187,1
ENSG00000269737,1
ENSG00000310190,1
ENSG00000310238,1
MMP23A,1
CDK11A,1
ENSG00000268575,1
ENSG00000293188,1
ENSG00000290854,1
SLC35E2A,1
ENSG00000227775,1
NADK,1
ENSG00000302550,1
GNB1,1
GNB1-DT,1
ENSG00000303984,1
ENSG00000294910,1
ENSG00000306476,1
CALML6,1
TMEM52,1
CFAP74,1
ENSG00000233542,1
GABRD,1
ENSG00000304958,1
PRKCZ-DT,1
PRKCZ,1
ENSG00000308181,1
ENSG00000271806,1
PRKCZ-AS1,1
FAAP20,1
ENSG00000304038,1
ENSG00000234396,1
ENSG00000304143,1
SKI,1
ENSG00000295493,1
ENSG00000287356,1
MORN1,1
ENSG00000272161,1
ENSG00000292993,1
ENSG00000269896,1
ENSG00000272420,1
ENSG00000295371,1
RER1,1
PEX10,1
PLCH2,1
ENSG00000224387,1
ENSG00000229393,1
PANK4,1
HES5,1
ENSG00000272449,1
TNFRSF14-AS1,1
ENSG00000307979,1
TNFRSF14,1
ENSG00000225931,1
ENSG00000307958,1
ENSG00000228037,1
ENSG00000289610,1
PRXL2B,1
MMEL1,1
MMEL1-AS1,1
TTC34,1
ENSG00000285945,1
ENSG00000283259,1
ENSG00000233234,1
ENSG00000287396,1
ENSG00000231630,1
ENSG00000302855,1
ENSG00000295089,1
ENSG00000300015,1
ENSG00000284745,1
ACTRT2,1
PRDM16-DT,1
PRDM16,1
MIR4251,1
ENSG00000226286,1
ENSG00000306427,1
ENSG00000279839,1
ENSG00000306439,1
ENSG00000272235,1
ENSG00000287828,1
ENSG00000286518,1
ENSG00000295754,1
ENSG00000297626,1
ARHGEF16,1
ENSG00000272088,1
MEGF6,1
MIR551A,1
ENSG00000309127,1
ENSG00000238260,1
TPRG1L,1
WRAP73,1
TP73,1
TP73-AS3,1
TP73-AS2,1
GFOD3P,1
ENSG00000276189,1
GFOD3P,1
CCDC27,1
ENSG00000296834,1
SMIM1,1
LRRC47,1
RN7SL574P,1
ENSG00000272153,1
CEP104,1
DFFB,1
C1orf174,1
LINC01134,1
LINC01346,1
LINC01345,1
LINC02780,1
ENSG00000284703,1
ENSG00000296871,1
ENSG00000308587,1
EEF1DP6,1
ENSG00000301255,1
ENSG00000299169,1
ENSG00000302287,1
LINC01777,1
ENSG00000306535,1
ENSG00000284694,1
ENSG00000299517,1
ENSG00000227169,1
ENSG00000295490,1
LINC01646,1
ENSG00000300565,1
ENSG00000303830,1
AJAP1,1
ENSG00000287586,1
ENSG00000284739,1
LINC02781,1
ENSG00000309102,1
ENSG00000309111,1
LINC02782,1
ENSG00000296716,1
ENSG00000302269,1
ENSG00000306645,1
ENSG00000284616,1
ENSG00000302445,1
ENSG00000302452,1
ENSG00000295735,1
ENSG00000284692,1
ENSG00000284666,1
ENSG00000260972,1
ENSG00000299325,1
ENSG00000283356,1
ENSG00000289893,1
ENSG00000264341,1
ENSG00000295108,1
ENSG00000295122,1
ENSG00000298180,1
MIR4689,1
NPHP4,1
ENSG00000299539,1
KCNAB2,1
CHD5,1
ENSG00000285629,1
RPL22,1
RNF207-AS1,1
RNF207,1
ICMT,1
ICMT-DT,1
HES3,1
GPR153,1
ACOT7,1
ENSG00000271746,1
HES2,1
ESPN,1
MIR4252,1
ENSG00000231868,1
TNFRSF25,1
PLEKHG5,1
ENSG00000297749,1
ENSG00000299237,1
ENSG00000299253,1
NOL9,1
RNU6-731P,1
ENSG00000229519,1
TAS1R1,1
ZBTB48,1
KLHL21,1
ENSG00000295286,1
ENSG00000304810,1
PHF13,1
THAP3,1
DNAJC11,1
LINC01672,1
ENSG00000284744,1
CAMTA1-DT,1
CAMTA1,1
ENSG00000227950,1
CAMTA1-AS3,1
RNU1-8P,1
ENSG00000310450,1
CAMTA1-IT1,1
CAMTA1-AS2,1
ENSG00000294314,1
CAMTA1-AS1,1
ENSG00000298973,1
ENSG00000306883,1
ENSG00000302704,1
ENSG00000270171,1
ENSG00000270035,1
ENSG00000269978,1
ENSG00000300603,1
VAMP3,1
ENSG00000269925,1
PER3,1
ENSG00000236266,1
UTS2,1
ENSG00000302605,1
TNFRSF9,1
ENSG00000270330,1
PARK7,1
ENSG00000299004,1
Y_RNA,1
ENSG00000284747,1
ENSG00000284716,1
ERRFI1,1
ERRFI1-DT,1
RPL7AP18,1
ENSG00000301325,1
LINC01714,1
ENSG00000229305,1
ENSG00000301344,1
RNU1-7P,1
ENSG00000233645,1
ENSG00000298156,1
ENSG00000301025,1
ENSG00000301006,1
RNU6-991P,1
SLC45A1,1
Y_RNA,1
RERE,1
RERE-AS1,1
ENSG00000221083,1
ENSG00000270282,1
RPL7P11,1
RPL7P7,1
ENSG00000303676,1
Y_RNA,1
ENSG00000226545,1
ENSG00000228423,1
RPL23AP19,1
ENO1,1
MIR6728,1
ENO1-AS1,1
RNU6-304P,1
HMGN2P17,1
ENSG00000310107,1
ENSG00000232208,1
ENSG00000232663,1
ENSG00000310124,1
CA6,1
ENSG00000290109,1
RN7SL451P,1
SLC2A7,1
SLC2A5,1
ENSG00000252404,1
GPR157,1
MIR34AHG,1
MIR34A,1
ENSG00000289914,1
ENSG00000302015,1
LNCTAM34A,1
ENSG00000301983,1
ENSG00000301968,1
H6PD,1
ENSG00000302217,1
SPSB1,1
ENSG00000294252,1
ENSG00000296073,1
ENSG00000296056,1
ENSG00000307568,1
ENSG00000284652,1
LINC02606,1
RNA5SP40,1
ENSG00000301013,1
ENSG00000301030,1
ENSG00000306844,1
ENSG00000296249,1
ENSG00000235263,1
SLC25A33,1
ENSG00000231181,1
TMEM201,1
ENSG00000307011,1
PIK3CD,1
PIK3CD-AS1,1
ENSG00000233268,1
ENSG00000301080,1
PIK3CD-AS2,1
CLSTN1,1
MZT1P1,1
ENSG00000280113,1
CTNNBIP1,1
CTNNBIP1-AS1,1
ENSG00000285701,1
ENSG00000228150,1
LZIC,1
NMNAT1,1
RN7SKP269,1
TMEM274P,1
MIR5697,1
ENSG00000241326,1
RBP7,1
UBE4B,1
RPL21P21,1
PGAM1P11,1
RNU6-828P,1
KIF1B,1
ENSG00000264881,1
RNU6-37P,1
RN7SL731P,1
ENSG00000284735,1
ENSG00000284642,1
PGD,1
ENSG00000271989,1
CENPS-CORT,1
CENPS,1
CORT,1
DFFA,1
ENSG00000203469,1
PEX14,1
ENSG00000307253,1
ENSG00000287727,1
RN7SL614P,1
CASZ1,1
ENSG00000272078,1
ENSG00000298629,1
ENSG00000308013,1
ENSG00000307983,1
ENSG00000307999,1
HSPE1P24,1
ENSG00000308257,1
CIROZ,1
CFL1P6,1
TARDBP,1
MASP2,1
SRM,1
EXOSC10-AS1,1
EXOSC10,1
MTOR,1
MTOR-AS1,1
RNU6-537P,1
ANGPTL7,1
RNU6-291P,1
RPL39P6,1
ENSG00000309051,1
UBIAD1,1
UBE2V2P3,1
ENSG00000284646,1
ENSG00000302153,1
ENSG00000302176,1
MTCYBP45,1
ENSG00000299102,1
DISP3,1
ENSG00000285833,1
ENSG00000303300,1
LINC01647,1
ENSG00000284708,1
FBXO2,1
FBXO44,1
MAD2L2,1
FBXO6,1
DRAXIN,1
ENSG00000301523,1
ENSG00000305789,1
AGTRAP,1
C1orf167,1
C1orf167-AS1,1
MTHFR,1
CLCN6,1
ENSG00000276470,1
ENSG00000278852,1
NPPA,1
ENSG00000275915,1
NPPB,1
SBF1P2,1
ENSG00000285646,1
RNU5E-1,1
RNU5E-4P,1
KIAA2013,1
PLOD1,1
ENSG00000287384,1
MFN2,1
ENSG00000270914,1
MIIP,1
Y_RNA,1
MIR6729,1
RN7SL649P,1
TNFRSF8,1
RNU6-777P,1
RPL23AP89,1
ENSG00000285604,1
ENSG00000294285,1
ENSG00000301863,1
MIR7846,1
TNFRSF1B,1
ENSG00000296888,1
MIR4632,1
ENSG00000297053,1
RPL10P17,1
SNORA70,1
VPS13D,1
ENSG00000295309,1
SNORA59A,1
LINC02766,1
ENSG00000309694,1
DHRS3,1
RNU6ATAC18P,1
MIR6730,1
ENSG00000305650,1
ENSG00000288927,1
AADACL4,1
ENSG00000226166,1
AADACL3,1
CFAP107,1
PRAMEF12,1
PRAMEF1,1
LINC01784,1
PRAMEF11,1
PRAMEF30P,1
HNRNPCL1,1
PRAMEF2,1
PRAMEF4,1
ENSG00000296105,1
PRAMEF10,1
PRAMEF7,1
RNU6-1072P,1
PRAMEF29P,1
PRAMEF6,1
PRAMEF28P,1
PRAMEF27,1
HNRNPCL3,1
PRAMEF25,1
PRAMEF34P,1
PRAMEF35P,1
HNRNPCL2,1
PRAMEF36P,1
PRAMEF36P,1
ENSG00000297821,1
ENSG00000233336,1
PRAMEF26,1
HNRNPCL4,1
PRAMEF9,1
PRAMEF13,1
PRAMEF18,1
ENSG00000295394,1
PRAMEF31P,1
PRAMEF5,1
PRAMEF32P,1
RNU6-771P,1
PRAMEF8,1
PRAMEF33,1
PRAMEF15,1
ENSG00000228229,1
PRAMEF14,1
PRAMEF19,1
PRAMEF17,1
PRAMEF20,1
ENSG00000307992,1
ENSG00000295011,1
LRRC38,1
ENSG00000301663,1
ENSG00000259961,1
BRWD1P1,1
PDPN,1
RNA5SP41,1
ENSG00000237445,1
ENSG00000295237,1
ENSG00000253085,1
PRDM2,1
ENSG00000289380,1
ENSG00000304226,1
KAZN,1
RNU6-1265P,1
ENSG00000231606,1
KAZN-AS1,1
ENSG00000302124,1
TBCAP2,1
ENSG00000287756,1
ENSG00000294214,1
ENSG00000294586,1
ENSG00000293964,1
TMEM51-AS1,1
ENSG00000310342,1
TMEM51,1
TMEM51-AS2,1
MFFP1,1
ZBTB2P1,1
FHAD1,1
EFHD2-AS1,1
FHAD1-AS1,1
ENSG00000236045,1
EFHD2,1
CTRC,1
CELA2A,1
CELA2B,1
CASP9,1
DNAJC16,1
SCARNA21B,1
ENSG00000272510,1
AGMAT,1
ENSG00000237301,1
CHCHD2P6,1
RNU7-179P,1
ENSG00000294489,1
CD24P1,1
DDI2,1
RSC1A1,1
PLEKHM2,1
ENSG00000271742,1
ENSG00000237938,1
SLC25A34,1
SLC25A34-AS1,1
TMEM82,1
ENSG00000297277,1
FBLIM1,1
SPEN-AS1,1
RPL12P14,1
UQCRHL,1
ENSG00000178715,1
SPEN,1
ENSG00000270620,1
ZBTB17,1
ENSG00000234607,1
ENSG00000231353,1
ENSG00000275503,1
TBC1D3P6,1
SRARP,1
ENSG00000233078,1
HSPB7,1
CLCNKA,1
ENSG00000307216,1
FAM131C2P,1
CLCNKB,1
FAM131C,1
EPHA2,1
EPHA2-AS1,1
ENSG00000297531,1
ARHGEF19,1
ENSG00000291077,1
ANO7L1,1
ENSG00000288398,1
CPLANE2,1
ENSG00000293791,1
MT1XP1,1
FBXO42,1
SZRD1,1
RPL22P3,1
SPATA21,1
NECAP2,1
CROCCP3,1
LINC01772,1
CROCCP3,1
ENSG00000306228,1
RNU1-1,1
ENSG00000224174,1
LINC01783,1
RNU1-6P,1
ENSG00000298308,1
PDE4DIPP8,1
NBPF1,1
ENSG00000271732,1
ENSG00000291072,1
CROCCP2,1
ENSG00000283773,1
ENSG00000293920,1
ENSG00000293901,1
MST1P2,1
ENSG00000282143,1
RNU1-3,1
ENSG00000280114,1
ENSG00000290849,1
EIF1AXP1,1
ENSG00000296694,1
ESPNP,1
ENSG00000279151,1
ENSG00000293526,1
ENSG00000282740,1
CROCC,1
ENSG00000290850,1
RNU1-4,1
CROCCP4,1
ENSG00000290851,1
MST1L,1
ENSG00000223643,1
PDE4DIPP9,1
MIR3675,1
ENSG00000302843,1
LINC03126,1
RNU1-5P,1
ENSG00000238142,1
ENSG00000235241,1
RNU1-2,1
ENSG00000272426,1
ENSG00000290122,1
MFAP2,1
ENSG00000286898,1
ENSG00000226526,1
ATP13A2,1
ENSG00000288636,1
SDHB,1
PADI2,1
LINC02783,1
ENSG00000282843,1
PADI1,1
PADI3,1
MIR3972,1
PADI4,1
PADI6,1
RCC2,1
RCC2-AS1,1
ENSG00000308620,1
ENSG00000290096,1
ENSG00000307703,1
ENSG00000306620,1
ARHGEF10L,1
ENSG00000302710,1
LINC02810,1
ACTL8,1
ENSG00000296176,1
ENSG00000296161,1
ENSG00000284653,1
ENSG00000302372,1
LINC01654,1
IGSF21,1
ENSG00000280222,1
ENSG00000293810,1
IGSF21-AS1,1
ENSG00000293766,1
ENSG00000225387,1
ENSG00000294535,1
KLHDC7A,1
DYNLL1P3,1
ENSG00000225478,1
ENSG00000300147,1
PAX7,1
ENSG00000308985,1
TAS1R2,1
ALDH4A1,1
MIR4695,1
MIR1290,1
ENSG00000310349,1
IFFO2,1
ENSG00000295712,1
ENSG00000308389,1
ENSG00000307102,1
ENSG00000272084,1
UBR4,1
EMC1-AS1,1
EMC1,1
MRTO4,1
ENSG00000286064,1
AKR7L,1
AKR7A3,1
ENSG00000270728,1
ENSG00000308073,1
AKR7A2,1
RNU6-1099P,1
SLC66A1,1
CAPZB,1
ENSG00000306364,1
RN7SL277P,1
ENSG00000306329,1
MICOS10,1
ENSG00000306287,1
RNU4-28P,1
MICOS10-DT,1
NBL1,1
MICOS10-NBL1,1
ENSG00000226396,1
ENSG00000306350,1
HTR6,1
TMCO4,1
RNF186,1
RNF186-AS1,1
OTUD3,1
ENSG00000308515,1
PLA2G2E,1
RN7SL304P,1
PLA2G2A,1
ENSG00000297402,1
PLA2G5,1
PLA2G2D,1
ENSG00000307383,1
PLA2G2F,1
ENSG00000227066,1
PLA2G2C,1
UBXN10,1
LINC01757,1
ENSG00000284710,1
VWA5B1,1
ENSG00000226664,1
ENSG00000304627,1
LINC01141,1
ENSG00000226487,1
ENSG00000284641,1
ENSG00000284743,1
ENSG00000296909,1
CAMK2N1,1
ENSG00000289402,1
MUL1,1
RPS4XP4,1
FAM43B,1
CDA,1
PINK1,1
MIR6084,1
PINK1-AS,1
DDOST,1
ENSG00000296887,1
KIF17,1
ENSG00000235432,1
SH2D5,1
ENSG00000298940,1
ENSG00000233069,1
HP1BP3,1
EIF4G3,1
RNU7-200P,1
MIR1256,1
RPS15AP6,1
ENSG00000236073,1
HSPE1P27,1
ENSG00000287192,1
ECE1,1
ENSG00000236936,1
ECE1-AS1,1
ENSG00000296859,1
PPP1R11P1,1
PDE4DIPP10,1
ENSG00000236009,1
NBPF2P,1
HS6ST1P1,1
CROCCP5,1
ENSG00000295832,1
NBPF3,1
PFN1P10,1
ALPL,1
ENSG00000298372,1
ENSG00000289715,1
ENSG00000305564,1
LINC02596,1
RAP1GAP,1
USP48,1
ENSG00000231978,1
LDLRAD2,1
HSPG2,1
ENSG00000305448,1
RPL21P29,1
ENSG00000293453,1
ENSG00000283234,1
CELA3B,1
ENSG00000285959,1
RN7SL386P,1
RNU6-1022P,1
CELA3A,1
RN7SL186P,1
RNU6-776P,1
LINC01635,1
LINC00339,1
ENSG00000289694,1
CDC42-AS1,1
ENSG00000285794,1
CDC42,1
CDC42-IT1,1
MPHOSPH6P1,1
ENSG00000305135,1
WNT4,1
ENSG00000305152,1
ENSG00000285873,1
ENSG00000294752,1
MIR4418,1
ENSG00000294164,1
ENSG00000302675,1
PPIAP34,1
ENSG00000279625,1
ENSG00000299881,1
ZBTB40,1
ENSG00000302246,1
ZBTB40-IT1,1
EPHA8,1
MIR6127,1
C1QA,1
ENSG00000289692,1
C1QC,1
ENSG00000308848,1
C1QB,1
EPHB2,1
MIR4684,1
ENSG00000225952,1
MIR4253,1
LACTBL1,1
ENSG00000297948,1
TEX46,1
KDM1A,1
ENSG00000240553,1
MIR3115,1
ENSG00000266802,1
LUZP1,1
ENSG00000293565,1
ENSG00000229010,1
RNU6-514P,1
RNU6-135P,1
ENSG00000289014,1
HTR1D,1
ENSG00000304077,1
RPL29P6,1
ENSG00000302918,1
LINC01355,1
ENSG00000284726,1
HNRNPR,1
ZNF436,1
ZNF436-AS1,1
Y_RNA,1
TCEA3,1
ENSG00000271420,1
ENSG00000232482,1
ENSG00000295946,1
ASAP3,1
E2F2,1
ENSG00000307540,1
ENSG00000307580,1
ENSG00000235052,1
ID3,1
ENSG00000307609,1
ENSG00000285802,1
MDS2,1
EEF1A1P48,1
ENSG00000304075,1
RPL11,1
ELOA-AS1,1
ELOA,1
PITHD1,1
ENSG00000289835,1
LYPLA2,1
GALE,1
HMGCL,1
FUCA1,1
CNR2,1
BTBD6P1,1
ENSG00000232557,1
MIR378F,1
ENSG00000299163,1
H3P1,1
PNRC2,1
SRSF10,1
ENSG00000225315,1
RPL36P5,1
MYOM3,1
MYOM3-AS1,1
IL22RA1,1
IFNLR1,1
GRHL3,1
LINC02800,1
ENSG00000309961,1
GRHL3-AS1,1
STPG1,1
ENSG00000307212,1
NIPAL3,1
RCAN3AS,1
RCAN3,1
NCMAP,1
ENSG00000227312,1
ENSG00000298126,1
Y_RNA,1
SRRM1,1
ENSG00000307307,1
ENSG00000284699,1
ENSG00000307325,1
CLIC4,1
RNU6-1208P,1
ENSG00000293733,1
RUNX3,1
MIR6731,1
RUNX3-AS1,1
ENSG00000261025,1
MIR4425,1
LINC02793,1
ENSG00000233755,1
ENSG00000303094,1
ENSG00000306010,1
IFITM3P7,1
ENSG00000307250,1
ENSG00000231953,1
SYF2,1
ENSG00000284657,1
ENSG00000299599,1
RSRP1,1
ENSG00000272432,1
ENSG00000261349,1
RHD,1
ENSG00000309241,1
SDHDP6,1
ENSG00000259984,1
TMEM50A,1
RHCE,1
ENSG00000238084,1
MACO1,1
LDLRAP1,1
MAN1C1,1
ENSG00000233478,1
SELENON,1
ENSG00000255054,1
ENSG00000228172,1
MTFR1L,1
ENSG00000272478,1
AUNIP,1
ENSG00000236528,1
PAQR7,1
Y_RNA,1
STMN1,1
SNRPFP2,1
ENSG00000223624,1
ENSG00000294297,1
MIR3917,1
ENSG00000294284,1
PAFAH2,1
RNU6-110P,1
ENSG00000310101,1
ENSG00000252190,1
ENSG00000252691,1
EXTL1,1
ENSG00000310112,1
SLC30A2,1
ENSG00000301481,1
ENSG00000301509,1
ENSG00000284309,1
TRIM63,1
ENSG00000309383,1
PDIK1L,1
ENSG00000309933,1
FAM110D,1
C1orf232,1
ZNF593OS,1
ZNF593,1
CNKSR1,1
ENSG00000302380,1
CATSPER4,1
ZPLD2P,1
ZPLD2P,1
ENSG00000278572,1
ENSG00000306815,1
CEP85,1
ENSG00000270733,1
ENSG00000301028,1
SH3BGRL3,1
UBXN11,1
CD52,1
CRYBG2,1
ENSG00000225854,1
ZNF683,1
LIN28A,1
DHDDS-AS1,1
DHDDS,1
RPL17P9,1
HMGN2,1
ENSG00000294798,1
DPPA2P2,1
RPS6KA1,1
MIR1976,1
RN7SL679P,1
Y_RNA,1
RNU7-29P,1
ENSG00000289452,1
ENSG00000299831,1
ENSG00000299868,1
ENSG00000229247,1
ENSG00000238316,1
ENSG00000235069,1
ENSG00000299849,1
ENSG00000260063,1
ENSG00000290006,1
ARID1A,1
ENSG00000303544,1
PIGV,1
RN7SL165P,1
ENSG00000287810,1
ZDHHC18,1
ENSG00000304862,1
SFN,1
ENSG00000309929,1
GPN2,1
GPN2-AS1,1
ENSG00000289554,1
GPATCH3,1
NUDC,1
NR0B2,1
KDF1,1
ENSG00000297103,1
RPL12P13,1
RPL32P6,1
OSTCP2,1
TRNP1,1
TENT5B,1
ENSG00000299378,1
ENSG00000299392,1
SLC9A1,1
ENSG00000298936,1
ENSG00000229985,1
CHCHD3P3,1
NPM1P39,1
SNRPEP7,1
WDTC1-DT,1
WDTC1,1
Y_RNA,1
ENSG00000243659,1
TMEM222,1
RNU6-48P,1
ACTG1P20,1
ENSG00000304055,1
SYTL1,1
MAP3K6,1
FCN3,1
CD164L2,1
ENSG00000231207,1
ENSG00000306354,1
ENSG00000306368,1
GPR3,1
WASF2,1
ENSG00000241169,1
ENSG00000301155,1
ENSG00000237429,1
ENSG00000300499,1
AHDC1,1
ENSG00000300470,1
FGR,1
ENSG00000301194,1
ENSG00000310432,1
ENSG00000235912,1
LINC02574,1
IFI6,1
ENSG00000294734,1
ENSG00000225886,1
RNU6-949P,1
CHMP1AP1,1
RNU6-424P,1
ENSG00000287244,1
FAM76A,1
ENSG00000231344,1
RPEP3,1
STX12,1
ENSG00000269971,1
ENSG00000270031,1
RNU6-1245P,1
ENSG00000286433,1
PPP1R8,1
SCARNA1,1
ENSG00000309988,1
THEMIS2,1
RPA2,1
SMPDL3B,1
ENSG00000227050,1
XKR8,1
EYA3,1
ENSG00000238231,1
RN7SL559P,1
ENSG00000301359,1
ENSG00000289576,1
SPCS2P4,1
ENSG00000228943,1
ARL8BP2,1
RNU6-176P,1
PTAFR,1
ENSG00000298310,1
DNAJC8,1
ENSG00000290123,1
ATP5IF1,1
ENSG00000270605,1
ENSG00000271398,1
SESN2,1
MED18,1
PHACTR4,1
Y_RNA,1
DNAJC8P4,1
RNU6ATAC27P,1
ENSG00000308327,1
RCC1,1
SNHG3,1
SNORA73A,1
SNORA73B,1
PRDX3P2,1
ENSG00000279443,1
TRNAU1AP,1
SNHG12,1
SNORD99,1
SNORA61,1
SNORA44,1
SNORA16A,1
SNORA16A,1
TAF12,1
RAB42,1
TAF12-DT,1
ENSG00000270103,1
RNU11,1
GMEB1,1
ENSG00000252777,1
ENSG00000289291,1
YTHDF2,1
ENSG00000305996,1
OPRD1,1
ENSG00000233427,1
Y_RNA,1
EPB41,1
ENSG00000300997,1
ENSG00000225616,1
Y_RNA,1
Metazoa_SRP,1
TMEM200B,1
ENSG00000305828,1
ENSG00000225750,1
SRSF4,1
ENSG00000277916,1
MECR,1
ENSG00000237934,1
PTPRU,1
LINC01756,1
ENSG00000300547,1
ENSG00000300593,1
ENSG00000225011,1
ENSG00000300570,1
ENSG00000228176,1
ENSG00000310425,1
ENSG00000284676,1
ENSG00000299394,1
ENSG00000270927,1
ENSG00000300797,1
LINC01648,1
ENSG00000304118,1
ENSG00000302306,1
ENSG00000302331,1
ENSG00000302319,1
ENSG00000233372,1
ENSG00000231251,1
ENSG00000306242,1
ENSG00000306012,1
ENSG00000236335,1
ENSG00000308745,1
ENSG00000231949,1
ENSG00000289710,1
ENSG00000301774,1
MATN1,1
MATN1-AS1,1
ENSG00000287510,1
LAPTM5,1
MIR4420,1
ENSG00000309098,1
ENSG00000306105,1
ENSG00000229607,1
LINC01778,1
ENSG00000298070,1
RN7SKP91,1
ENSG00000235143,1
SDC3,1
RN7SL371P,1
ENSG00000307336,1
PUM1,1
ENSG00000237329,1
ENSG00000232768,1
SELENOWP1,1
RPL21P22,1
ENSG00000302667,1
ENSG00000308292,1
NKAIN1,1
SNRNP40,1
ENSG00000229447,1
ZCCHC17,1
ENSG00000229044,1
FABP3,1
SERINC2,1
ENSG00000305880,1
ENSG00000305901,1
EEF1A1P46,1
RNU6-40P,1
LDC1P,1
LDC1P,1
Y_RNA,1
LINC01226,1
ENSG00000229167,1
TINAGL1,1
ENSG00000305292,1
HCRTR1,1
PEF1,1
PEF1-AS1,1
COL16A1,1
ENSG00000306756,1
ENSG00000295060,1
ADGRB2,1
MIR4254,1
ENSG00000306226,1
ENSG00000301119,1
ENSG00000254545,1
SPOCD1,1
ENSG00000203620,1
ENSG00000269967,1
PTP4A2,1
ENSG00000288678,1
ENSG00000228634,1
ENSG00000300504,1
ENSG00000284702,1
KHDRBS1,1
ENSG00000203325,1
TMEM39B,1
MIR5585,1
Metazoa_SRP,1
KPNA6,1
ENSG00000250135,1
TXLNA,1
ENSG00000297522,1
CCDC28B,1
IQCC-AS1,1
IQCC,1
DCDC2B,1
TMEM234,1
EIF3I,1
MTMR9LP,1
MTMR9LP,1
ENSG00000290045,1
FAM167B,1
LCK,1
Metazoa_SRP,1
Y_RNA,1
HDAC1,1
MARCKSL1,1
ENSG00000305107,1
ENSG00000305127,1
ENSG00000233775,1
TSSK3,1
FAM229A,1
BSDC1,1
GAPDHP20,1
ENSG00000270850,1
LRRC37A12P,1
ENSG00000304771,1
RN7SL122P,1
ZBTB8B,1
ENSG00000254553,1
ZBTB8A,1
ZBTB8OS,1
ENSG00000294305,1
Y_RNA,1
RBBP4,1
SYNC,1
ENSG00000224409,1
NHSL3,1
ENSG00000304155,1
YARS1,1
S100PBP,1
FNDC5,1
HPCA,1
TMEM54,1
ENSG00000287691,1
RNF19B,1
ENSG00000278966,1
ENSG00000300688,1
ENSG00000217644,1
ENSG00000239670,1
ENSG00000236065,1
AK2,1
Metazoa_SRP,1
AZIN2,1
ENSG00000305756,1
ENSG00000278997,1
TRIM62,1
ENSG00000279179,1
ENSG00000284721,1
ENSG00000303059,1
ENSG00000305863,1
ZNF362,1
ENSG00000270115,1
A3GALT2,1
ENSG00000225313,1
PHC2,1
MIR3605,1
RN7SKP16,1
