HGNC symbol	Chromosome/scaffold name
GAPDHP34	13
LRCH1	13
MTCO2P2	18
SINHCAFP1	18
RPS24P18	18
MAP1LC3P	18
RPRD1A	18
SCEL-AS1	13
COX5BP6	13
NXT1P1	13
FTLP8	13
CDADC1	13
RIT2	18
ZDHHC4P1	13
DDX6P2	13
DIS3	13
CTAGE1	18
POLR3GP2	18
HRH4	18
L3MBTL4-AS1	18
MAPK4	18
ATP7BP1	18
ARK2C	18
RPSAP57	18
ZBTB7C-AS2	18
ST8SIA3	18
LINC00351	13
RNF152	18
LINC00383	13
LINC00353	13
PEX12P1	13
PRR20C	13
CCDC68	18
TCEAL4P1	13
GAPDHP69	13
NUS1P4	13
SLITRK6	13
RPL27AP8	13
CYCSP35	13
NUS1P3	13
ZMYM5	13
RPLP0P11	18
SMAD2	18
NALF1-IT1	13
SOX1	13
CALM2P4	13
MYO16	13
RPL7AP61	13
DPPA3P3	13
AKR1B1P4	13
IRS2	13
SPACA7	13
RAB27B	18
GYG1P2	13
RIOK3P1	13
STOML3	13
LINC01043	13
TXNL1	18
ANKRD10	13
LINC01044	13
SSR1P2	13
RPL7L1P1	13
NALF1	13
RPL7P45	13
MRPS5P4	18
PCCA	13
CTIF	18
ARIH2P1	18
GAREM1	18
HMGN1P31	18
RPL7AP66	18
RPIAP1	18
ZBTB7C	18
TUBGCP3	13
BOD1L2	18
FBXO15	18
GRK1	13
WDR7-OT1	18
OBI1	13
TRIM60P13	13
AZU1P1	13
CDH7	18
BNIP3P7	13
UBL3	13
MOB1AP1	13
LINC01040	13
TIMM8BP1	13
MLNR	13
FLT3	13
ATP5PO	21
TPGS2	18
FAM216B	13
GRPEL2P1	13
LINC01700	21
FDX1P2	21
CHODL	21
KMT5AP1	13
MIR4499	13
MIR2276	13
RNU5A-4P	13
RNA5SP26	13
RNU6-56P	13
RN7SKP1	13
RNY3P9	13
RN7SKP2	13
RNA5SP27	13
RN7SL700P	13
RNU6-60P	13
RNY3P2	13
RN7SL618P	13
MIR5007	13
RN7SKP6	13
RNA5SP30	13
RNY4P29	13
MIR3169	13
RNU7-88P	13
RNY3P5	13
RN7SL375P	13
RN7SL761P	13
RNU6-80P	13
RNY1P8	13
RNU4-10P	13
RNU6-66P	13
RNU6-79P	13
RNY3P10	13
RN7SL571P	13
RNA5SP33	13
RNU6-61P	13
RNU6-54P	13
RNY3P7	13
RNU6-77P	13
RNY3P3	13
RNU6-38P	13
RNU6-67P	13
RN7SL60P	13
SNORD31B	13
MIR1267	13
RNA5SP38	13
NME1P1	13
MTND3P1	13
FTH1P7	13
DDX39AP1	13
IPMKP1	13
RFESDP1	13
BASP1P1	13
HMGA1P6	13
RNY3P4	13
RNU6-58P	13
TATDN2P3	13
SDAD1P4	13
RPLP1P13	13
LINC00327	13
BACH1	21
LINC00352	13
ITM2B	13
MC4R	18
LINC01903	18
TMX3	18
SPATA20P1	21
PPP1R26P1	13
PCNPP5	13
PSMA6P3	21
TRIM13	13
ETS2	21
MIR3613	13
KCNRG	13
MIR16-1	13
MIR15A	13
RPL18P10	13
ST13P4	13
RPL34P26	13
RPL31P9	18
RNA5SP28	13
LINC03111	18
RNA5SP29	13
RPL5P31	13
PRELID3BP2	13
CTBP2P3	18
MIR5693	13
FAM124A	13
DHFRP1	18
BDP1P	18
CDH20	18
IPO7P2	13
ZAR1L	13
IFIT1P1	13
N4BP2L1	13
MTL3P	18
RPL30P14	18
PTPN2	18
KCNJ15	21
ATP8A2P2	13
NDE1P2	13
SMAD9-IT1	13
LAMTOR3P1	13
RPL29P28	13
EIF4A1P5	13
CSNK1A1L	13
TMEM272	13
CTAGE3P	13
RFXAP	13
TRPC4	13
MAPK6P2	21
ZNF355P	21
CRYZL1	21
SINHCAFP2	18
RPS3AP49	18
PHLPP1	18
CDH19	18
LINC02565	18
RAC1P1	18
RN7SL288P	13
RPS2P6	18
RN7SKP5	13
ABITRAMP1	13
RNU2-6P	13
RNU6-68P	13
PPP1R2P4	13
OR7E101P	13
C18orf21	18
COX17P1	13
FKBP1AP3	13
CPB2	13
BNIP3P43	21
N6AMT1	21
KCTD1	18
LCP1	13
ANKRD30BP1	21
VN1R8P	21
GTF2IP2	21
SLC39A6	18
ADAMTS5	21
SNRPGP13	21
MIR6724-2	21
MIR6724-3	21
RNA5-8SN3	21
NRBF2P1	18
AIDAP3	18
MIR6724-4	21
RNA5-8SN1	21
MIR6724-1	21
ZBTB14	18
MIR3648-1	21
SIAH3	13
RNA5-8SN2	21
MIR3118-1	21
RNU6-286P	21
RN7SL52P	21
RNU6-113P	21
NALCN	13
RN7SKP147	21
RNU6-772P	21
RNU2-55P	21
RNU1-139P	21
RNU4-45P	21
MIR3156-3	21
RN7SKP236	21
RN7SL163P	21
MIR155	21
MIR6130	21
RNA5SP489	21
MIR4759	21
MIR548X	21
RNU6-614P	21
NPM1P2	18
RN7SL740P	21
SNORA80A	21
GALR1	18
C2CD2	21
ZNF521	18
	20
LINC02974	18
ADRA1D	20
SCML2P1	18
AKR1B10P2	18
PLEKHB2P1	18
IMPACT	18
RSPO4	20
DEFB129	20
ANGPT4	20
ZBTB21	21
DYNLT3P1	20
SDHCP1	18
SHLD1	20
CBLN2	18
UMODL1-AS1	21
LINC00555	13
CCDC168	13
RPL34P3	21
TEX30	13
EZH2P1	21
MIR802	21
RPS20P1	21
PPP1R2P2	21
SLX4IP	20
RPL23AP3	21
RIMKLBP1	21
RNU6-992P	21
CBR1	21
EEF1A1P34	20
DEFB125	20
KRT8P5	18
SRSF10P2	20
LINC01898	18
BIVM-ERCC5	13
BMP2	20
RPS9P1	21
CBR3	21
FAM110A	20
RPL3P1	21
MBP	18
EVA1C	21
BIVM	13
INSM1	20
LIN28AP3	20
DEFB128	20
DEFB126	20
LINC03086	20
BTBD3	20
GAS6	13
NUDT15	13
EXOSC3P1	21
RNA5SP490	21
CFAP298	21
MED4	13
RPL7P2	20
EIF4E2P1	20
PCSK2	20
POLR2KP2	13
PSME2P2	13
SGCG	13
RBM26	13
ZNF343	20
OR7E23P	21
CFAP298-TCP10L	21
DGKH	13
PA2G4P2	20
HNRNPA1P11	18
ISM1	20
KRT18P8	18
EIF4A3P1	18
CST5	20
TMEM241	18
RPL7AP13	20
CENATACP1	20
PGAM3P	20
SYNDIG1	20
TCP10L	21
RPS11P1	20
XRN2	20
BTG3	21
SNRPB2	20
SUMO3	21
GAPDHP2	20
PCMTD1P7	20
CST7	20
MRPL39	21
PRPF19P1	18
APMAP	20
ELP2	18
SUCLA2	13
BFSP1	20
SAMSN1	21
PDYN-AS1	20
CFTRP2	20
GGTLC1	20
POM121L3P	20
CST2	20
DSTN	20
FAM204CP	13
SIM2	21
RN7SKP9	13
H2AZP3	13
GPR183	13
SNORA31B	13
SNORA31	13
CFTRP3	20
RCN1P2	13
STK35	20
ABHD13	13
RNA5SP39	13
HCFC2P1	13
ESD	13
DUX4L35	20
SCRT2	20
NCOA6	20
HLCS-IT1	21
RNA5SP491	21
DPRXP5	21
MRPL20P1	21
RIPPLY3	21
RNU6-696P	21
RRP1B	21
HTR2A	13
RNY4P28	13
TARDBPP2	13
RNA5SP31	13
EIF4A1P6	13
TDRD3	13
PDXK	21
RNU6-71P	13
SPART	13
DEFB127	20
SPTLC3	20
DUX4L32	20
DUX4L33	20
DEFB115	20
CD226	18
CST2P1	20
SLC23A2	20
PSMC1P13	13
STK24	13
PIGN	18
CST9L	20
DUX4L37	20
RCBTB2	13
LINC01734	20
TASP1	20
TMEM97P1	21
WFDC9	20
RRP1	21
MTCL2	20
WFDC10A	20
PPP1R16B	20
SLITRK1	13
IFT88	13
NPM1P19	20
MYL6P1	21
DHX35-DT	20
TMTC4	13
DHX35	20
AGPAT3	21
EPSTI1	13
TOX2	20
TNFRSF19	13
RNU6-859P	21
RNU6-1150P	21
TRAPPC10	21
GAPDHP54	20
COL4A2-AS2	13
EYA2	20
COL4A2-AS1	13
RAB20	13
NAXD-AS1	13
CARS2	13
H2AZP1	21
PWP2	21
WFDC11	20
CDC27P3	20
DYRK1A	21
RIPOR3	20
MIR3168	13
RN7SL597P	13
KBTBD6	13
CALM2P3	13
KBTBD7	13
MORF4L1P4	13
MTRF1	13
RPL35AP	20
ATG3P1	20
FAM83D	20
SLC2A10	20
RPS2P7	20
KCNB1	20
RAC1P3	13
NAA16	13
CDH22	20
CFAP61-AS1	20
DUX4L34	20
RPL27AP9	20
TP53RK-DT	20
NCOA3	20
RNU6-57P	13
TUBBP2	13
OR7E37P	13
RGCC	13
VWA8	13
MIR5006	13
RN7SL515P	13
RNU6-74P	13
KARS1P1	13
RPS28P8	13
MAPK6P3	13
RNA5SP37	13
RAP2A	13
PSMA6P4	13
LPAR6	13
PRDM15	21
MC3R	20
NAXD	13
RPL13P14	20
PREX1	20
MOCOS	18
KRR1P1	13
GJA3	13
LINC00556	13
GJB2	13
NETO1	18
GJB6	13
CNDP2	18
ZMYM2	13
PTGIS	20
CBLN4	20
DKKL1P1	20
ATP9A	20
RALY	20
LINC01910	18
LARP7P3	18
LINC01477	18
RPL12P40	18
SLC35E1P1	13
RNU2-7P	13
EEF1AKMT1	13
CNDP1	18
RANP8	13
CNOT4P1	13
PPIAP27	13
RPSAP54	13
LATS2	13
LATS2-AS1	13
RNU4-9P	13
RPS12P23	13
IPPKP1	13
MIR5692B	21
PKNOX1	21
CENPJ	13
CFAP61	20
RPL17P45	18
LINC01916	18
TWSG1	18
LINC01922	18
DOK6	18
CBS	21
KIAA1328	18
RPL34P27	13
ELOBP1	13
RNU6-78P	13
RN7SL741P	13
RNY1P3	13
SHISA2	13
RXFP2	13
ENTR1P1	18
SLC25A51P2	18
NFE2L3P1	18
RN7SKP72	18
RNU6-349P	18
RN7SL282P	18
RN7SL50P	18
MIR4317	18
RNU6-916P	18
RNU2-27P	18
GAPDHP53	20
RNU6-903P	18
RN7SL97P	18
RNU6-1289P	18
MIR302F	18
RNU6-408P	18
MIR3975	18
MIR3929	18
MIR4318	18
MIR924	18
MIR5583-2	18
MIR5583-1	18
RNU6-1242P	18
SLC17A9	20
RN7SKP182	18
RNA5SP454	18
FRY	13
RNA5SP455	18
MIR187	18
MIR4743	18
MIR4527	18
RNU6-706P	18
RNU6-708P	18
RNA5SP458	18
RNU6-737P	18
RNU6-116P	18
RN7SL342P	18
RNA5SP456	18
RNU4-17P	18
RNU6-567P	18
	22
MIR5011	18
RNU6-142P	18
RNU6-1037P	18
ACTR3BP7	22
RN7SL705P	18
RN7SL795P	18
RNA5SP460	18
MIR548AV	18
RNU6-39P	18
RNU6-655P	18
ZNF73P	22
RPL31P59	18
BNIP3P2	22
IGLJCOR18	18
ZNF72BP	22
RPL21P127	18
BOD1P1	18
PIAS2	18
PSMA7	20
MED15	22
CST9LP2	20
RBBP8NL	20
LINC00687	20
CST3	20
HDHD2	18
RPL12P4	20
GID8	20
MRPL51P2	21
CSTP2	20
U2AF1	21
PMEPA1	20
EEF1DP3	13
PDS5B	13
IER3IP1	18
RNU6-1131P	18
SKOR2	18
PHACTR3-AS1	20
CDK5RAP3P1	20
LINC01056	20
LINC01429	20
ANAPC13P1	20
EIF2S2	20
TGIF1	18
SOX18	20
RNY1P4	13
SCAND3P1	13
PHB1P13	13
SETD4	21
RNY4P30	13
CTAGE10P	13
ACSS1	20
RNY4P9	13
DAOA-AS1	13
UTP14C	13
THSD1P1	13
INTS6	13
TAF4B	18
DOK5	20
B4GALT5	20
IGLV3-12	22
IGLV2-11	22
PMAIP1	18
RPS10P30	22
DSG4	18
OSM	22
HIGD1AP16	20
RPL17P1	20
SALL4	20
ZNRF3-IT1	22
MTCO1P3	21
COL18A1-AS2	21
COL18A1-AS1	21
MIR6815	21
NCF4	22
SLC19A1	21
SCP2D1	20
BHLHE23	20
RPSAP1	20
CDH4	20
RN7SL320P	13
SNRPGP11	13
MIR4703	13
RNU6-65P	13
RNY1P6	13
RN7SL413P	13
ATP5PBP1	13
CCDC70	13
GPR18	13
DSG3	18
MTUS2	13
RN7SKP44	18
TTR	18
COL18A1	21
TNFSF13B	13
RPL29P35	20
CDH2	18
NDRG3	20
ATP8A2P3	13
PRUNE1P1	13
RNF6	13
ACO2P1	22
CACNA1I	22
THAP12P6	13
ATP8A2	13
MIR4744	18
PRR13P4	18
RPL17-C18orf32	18
RPS21	20
NKILA	20
RPS2P1	20
SS18L1	20
MIR1539	18
SNORD58C	18
SNORD58A	18
SNORD58B	18
SRP72P1	18
LIPG	18
SACS	13
NFATC2	20
DYM	18
FAM3B	21
SRSF10P1	18
RNU1-46P	18
ANKRD10-IT1	13
MEX3C	18
PARP1P1	13
ARHGEF7-IT1	13
TEX29	13
RNA5SP459	18
KCTD12	13
BTF3P11	13
RPL7P44	13
DHX9P1	13
CLN5	13
MX1-AS1	21
ADAMTS1	21
SYCP2	20
ISX	22
TCF4	18
FBXL3	13
LIF-AS2	22
ENTHD1	22
MYCBP2-AS1	13
LIF	22
MYCBP2-AS2	13
ATP11AUN	13
ATP11A-AS1	13
MCF2L-AS1	13
SERPINE3	13
CBX7	22
METTL21C	13
MIS18A	21
ERCC5	13
MRAP	21
PNPLA3	22
WDR4	21
LAMA5	20
EFCAB6	22
SLC10A2	13
IL17D	13
GGACT	13
ATP11A	13
NDUFV3	21
GABPA	21
LSM14B	20
TBC1D22A	22
CYSLTR2	13
CLIC6	21
PHACTR3	20
OXGR1	13
TPTE	21
COMMD6	13
THSD1	13
RNY4P24	13
VPS36	13
CKAP2	13
FRG2EP	20
TCEA2	20
SYNJ1	21
SUGT1	13
RPL3	22
HNRNPA1L2	13
DAOA	13
GATA5	20
ZIC2	13
LINC00554	13
NDUFA12P1	13
ASNSP3	13
RNU6-954P	21
RPL15P18	13
RBL1	20
NF1P3	21
PPP6R2P1	21
ZIC5	13
FRG2MP	21
RNA5SP488	21
LNX2	13
RBM11	21
NPM1P4	13
GSX1	13
PLUT	13
RNU6-73P	13
PDX1	13
HSPA13	21
POLR1D	13
PCBP2P1	21
PSMG1	21
AGGF1P10	20
EDN3	20
LIG4	13
BNIP3P6	14
TRDJ1	14
TRDV2	14
TRAJ60	14
	14
TRDD1	14
TRAJ54	14
LINC01039	13
GTSE1	22
CFL1P8	13
TRAJ49	14
MIR4306	13
TRDJ3	14
TRDD3	14
CLYBL	13
TRAJ48	14
BRWD1	21
TRAJ59	14
TRAJ61	14
TRDC	14
TRAJ58	14
TRDJ4	14
TRAJ47	14
TRDJ2	14
TRAJ56	14
ITGBL1	13
KIAA1143P1	14
RPL7P3	20
PIEZO1P1	20
LINC02970	20
NUBPL	14
ADRM1	20
MRPS18CP6	22
COX5BP7	22
SAMM50	22
ARHGAP16P	14
TRDD2	14
SUPT20H	13
SNX6	14
PHF20	20
TTC38	22
TRAJ53	14
KRT8P2	14
TRAJ45	14
ATP5MC2P2	14
TRAJ52	14
TRAJ55	14
GLRX5P3	14
TRDV3	14
COX7BP2	20
LLPHP1	20
LINC02307	14
MRPS11P1	20
KRT8P1	14
RN7SKP69	20
RN7SL547P	20
RN7SL607P	20
TRAJ51	14
RN7SKP111	20
RNU6-1257P	20
HMGN2P6	14
RN7SL690P	20
RNU1-23P	20
RNA5SP528	20
MIR4755	20
RNU4-40P	20
RPS3AP46	14
RNU6-937P	20
RNU6-639P	20
RNA5SP532	20
RN7SL116P	20
PSMA3P1	14
RN7SL680P	20
RNU7-144P	20
RNU6-347P	20
PPIAP5	14
RNU7-6P	20
RNU6-497P	20
RNA5SP487	20
MIR3194	20
TRAJ57	14
RNU6-929P	20
TRIOBP	22
RNU4ATAC7P	20
RNU7-141P	20
MAD2L1P1	14
MIR1-1	20
MIR133A2	20
RN7SKP33	20
GNRHR2P1	14
MIR4758	20
RPL31P4	14
RNU6-563P	20
RBPJL	20
TIMM9P2	21
BRWD1-IT1	21
PCNX4	14
METTL21AP1	21
HMGN1	21
SDC4	20
SYS1	20
SIX1	14
PPP2R5E	14
SYS1-DBNDD2	20
TP53TG5	20
NDUFB4P10	20
LINC01711	20
STX16-NPEPL1	20
NPEPL1	20
MTFR2P2	22
PIM3	22
GTSE1-DT	22
DENND6B	22
MIR296	20
MIR298	20
NELFCD	20
RNF6P1	21
GET1	21
CERK	22
STYX	14
NBEA	13
ATP5F1CP1	14
L3HYPDH	14
EIF1AXP2	14
C14orf39	14
GET1-SH3BGR	21
MIR6508	21
MYL6P2	21
PPP6R2	22
RPS26P4	21
JCADP1	21
PCP4	21
DSCAM	21
RPL17P2	14
SIX6	14
SIX4	14
TUBB1	20
ATP5F1E	20
SALL4P7	14
PPM1A	14
SETDB2	13
PRELID3B	20
SNRPGP14	13
PHF11	13
MIR4760	21
DSCAM-IT1	21
YRDCP3	21
MIR3197	21
CCDC175	14
BACE2	21
MRPS16P2	20
GDF5-AS1	20
GDF5	20
MIR1289-1	20
C20orf173	20
SCOCP1	14
DHRS7	14
RPL36P4	20
RPL37P1	20
RN7SKP271	20
RNU6-759P	20
RBM12	20
PCSEAT	21
LINC00111	21
FITM2	20
RIPK4	21
RPL37AP1	20
TTPAL	20
RCBTB1	13
PCNX1	14
SKA3	13
MIR6814	21
RNA5SP492	21
SERINC3	20
TFF2	21
TFF1	21
TMPRSS3	21
MRPL57	13
GRK6P1	13
RNA5SP25	13
ZDHHC20-IT1	13
H2BP6	13
MICU2	13
PKIG	20
FNTAP2	13
RNU6-59P	13
RPS7P10	13
FGF9	13
RN7SL766P	13
ALG5	13
RTL6	22
RN7SL156P	20
TLDC2	20
PVALB	22
RPS3AP3	20
RPS27AP3	20
RN7SL443P	20
OSER1	20
JPH2	20
GPHB5	14
EXOSC8	13
ATP5F1AP4	14
UBASH3A	21
SALRNA1	14
RNU6-743P	20
MNAT1	14
EIF4EBP2P1	20
SRSF6	20
SYNGR1	22
RNU6-1251P	20
IFT52	20
	10
RPL27AP	20
MYBL2	20
CCDC177	14
PDGFB	22
ADARB2	10
DCAF4	14
GTSF1L	20
KLF6	10
CST9	20
SIRPB1	20
MPPED1	22
ATP5F1C	10
LINC00400	13
ENOX1	13
OTOR	20
RPL35AP36	22
PKDREJ	22
SRXN1	20
LINC02556	22
DTD1	20
RPL36P19	13
ENOX1-AS1	13
ANKRD54	22
CCDC122	13
RNU6-1149P	21
RSPH1	21
LACC1	13
OSBPL2	20
DGKZP1	13
SLC37A1	21
MIR8075	13
LDHBP1	13
LAMP1	13
JKAMP	14
CHCHD3P1	10
HSP90AB7P	10
GRTP1	13
ITIH2	10
DCUN1D2	13
RSPH1-DT	21
PDE9A	21
FUNDC2P4	22
RNU1-16P	13
TSPO	22
TMCO3	13
RHOJ	14
MTND1P37	10
SOCS4	14
TFDP1	13
CCDC3	10
KCNH5	14
SKP1P4	22
HMGN1P20	10
KIN	10
IGLV3-13	22
YES1P1	22
TCF4-AS1	18
MIR4529	18
RPL21P126	18
ADPRHL1	13
SHISAL1	22
AQP4	18
SUSD6	14
ACBD7	10
SCUBE1-AS1	22
MTND2P16	10
RPP38	10
PARP1P2	14
ZC3H13	13
AKR1B1P5	14
ZNRF3	22
PTTG1P1	14
RAP1AP	14
RMB8AP1	14
TUBBP3	14
NCOA4P1	14
N4BP2L2-IT2	13
ITIH5	10
RPL23AP71	14
NEK5	13
EGLN3	14
ONECUT2	18
R3HDML	20
MIR124-3	20
YTHDF1	20
NARS1	18
BIRC7	20
XPO4	13
SPTSSA	14
MYCBP2	13
TBC1D22A-AS1	22
GTF3AP2	14
HNRNPUP1	14
RPL9P6	14
MIR3196	20
PLEKHD1	14
NKAIN4	20
MRC1	10
RNA5SP494	22
RNU6-1066P	22
RN7SKP169	22
MIR5739	22
SNORD83A	22
MIR6821	22
SNORD83B	22
SNORD43	22
MIR4535	22
MIR3201	22
RN7SKP214	22
IGLCOR22-1	22
YBX1P1	14
SLC5A4-AS1	22
CPSF1P1	22
LTBP2	14
RFPL3	22
ATP8B1	18
IGLCOR22-2	22
IGLVIVOR22-2	22
ARFGAP1	20
RGL4P1	22
RTCB	22
MRPL3P1	13
PARP4P2	13
CCNQP3	13
SLC25A15P2	13
CYCSP32	13
MRPS31P2	13
ESRRAP1	13
CKS1BP2	10
GOLM2P1	13
MPHOSPH8	13
CUBN	10
RNU6-742P	18
RSL24D1P11	18
LINC01897	18
HMGN1P30	18
MIR122	18
MIR3591	18
ALPK2	18
PSPC1-AS2	13
PSPC1	13
RN7SL166P	13
ST6GALNAC4P1	13
WDFY2	13
SNORA108	18
RPL9P31	18
MRPL37P1	18
RNU6-219P	18
RNU2-69P	18
YWHAH	22
PTPRM	18
RN7SL305P	22
DHRS12	13
RPS3AP55	22
ASPHD2	22
SRRD	22
ISCA2	14
FABP5P2	13
LINC02339	13
RAC1P8	13
LINC01074	13
LINC00459	13
RPL32P28	13
SQSTM1P1	13
TFIP11	22
RNU6-81P	13
LINC00355	13
TRDMT1	10
NFYAP1	13
LGMNP1	13
STARP1	13
HNRNPA3P5	13
MIR548X2	13
MIR4704	13
TRIM60P19	13
SPATA7	14
LINC00561	13
TPTE2	13
EIF4A1P7	13
SLC46A3	13
RNU6-53P	13
CYP51A1P2	13
POM121L13P	13
POMP	13
MIR548J	22
CRYBB1	22
TNFSF11	13
CRYBA4	22
MINDY3	10
L3MBTL4	18
TPP2	13
C1QTNF6	22
MIR4326	20
RNU6-994P	20
CHRNA4	20
SSTR3	22
ZNF33BP1	10
RPL39P41	22
ARMC3	10
TMPRSS6	22
ALG11	13
ST8SIA5	18
CYCSP1	14
NUP58	13
AP5M1	14
HIGD1AP15	20
RPL23AP6	20
SDAD1P2	20
ARHGAP28	18
MKKS	20
PTK6	20
RPL21P8	14
SLC35F4	14
FNDC11	20
RNU1-94P	20
PDRG1	20
N4BP2L2	13
BMP4	14
XKR7	20
RNA5SP481	20
CCM2L	20
RPP38-DT	10
FTH1P13	14
ACTR3BP5	10
RPL21P11	14
PABPC1P12	10
OR7E159P	14
RPS24P13	10
RNA5SP482	20
ZNF37CP	10
RSL24D1P6	20
EIF3LP1	14
PLAGL2	20
PIP4K2A	10
COILP1	14
TRAJ50	14
MIR1825	20
FKBP1BP1	14
BAK1P1	20
MAPRE1	20
RELCH	18
SRSF5	14
PROCR	20
RPS10P29	22
RNA5SP483	20
MMP24OS	20
SPECC1L	22
C10orf67	10
MT1P3	20
MMP24	20
C1QTNF9	13
RPS4XP11	10
MALRD1	10
LRRC63	13
FAM83C	20
PCDH20	13
SAP18	13
ST8SIA6	10
DSN1	20
MKX	10
CAP2P1	14
IRX1P1	13
ANKRD20A10P	13
ATP12A	13
FUT8	14
ZNF532	18
GDF2	10
RNY1P7	13
RPL26P34	13
ODAD2	10
RNF17	13
SPECC1L-ADORA2A	22
ADORA2A	22
UPB1	22
ARHGEF7	13
C18orf32	18
ZBTB46	20
CHEK2P5	10
ITGA8	10
APCDD1	18
GDAP1L1	20
SNRPD3	22
NAPG	18
LINC00322	21
SIK1	21
FXYD6P1	10
CICP9	10
HNRNPRP1	10
SLC39A12	10
LRRC75B	22
RPS19P3	14
RAB42P1	14
HSF2BP	21
ENSAP2	14
UBA52P3	14
CYB5AP5	14
NAA30	14
MYL9	20
CLEC14A	14
MIX23P1	18
PMM2P1	18
RPL31P1	21
H2BC12L	21
TGIF2	20
MIR6070	21
MIR6788	18
DNMT3L	21
AMD1P1	10
GGT1	22
SOCS6	18
RPL21P128	18
RNU6-120P	18
EXOGP1	18
TGIF2-RAB5IF	20
SNRPD1	18
ZFAND4	10
SLA2	20
ABHD3	18
RGS6	14
HNRNPA3P2	20
DNMT3L-AS1	21
MRPS26	20
AIRE	21
OXT	20
AVP	20
RN7SL555P	20
UBOX5	20
MIR320C1	18
KDSR	18
PFKL	21
DDRGK1	20
MYO3A	10
ITPA	20
